Артикул;Название;Изображения;"Длина спального места";"Длина макс";Длина;Высота;"Ширина стула";"Высота сиденья";"Ширина спального места";Ширина;"Высота стула";"Глубина стула";"Материал столешницы";"Материал сиденья";"Материал каркаса";Материал;"Цвет столешницы";"Цвет сиденья";"Цвет обивки";"Цвет металла";"Цвет каркаса";"Цвет дерева";Описание;Вес;Объем;"Страна происхождения";Производитель;"По раскладке";"Цена опт 1";"Цена опт 2";"Цена РРЦ";"EAS 1";"EAS 2";"Общий остаток";"Дата поступления"
CB1904P15S0J;"Стул GRETA CB/1904 MET.P15 MATT BLACK/ VENICE S0J OCEAN BLUE";https://mebelcity.com/upload/iblock/955/9551f928abc18aa2a1ec0beb86776229.jpg;;;;;50;47;;;91;61;;Ткань;Металл;;;Синий;;;;;"<h1>Стул на металлическом каркасе GRETA синий Connubia by Calligaris</h1>
<p>Изящный дизайн стула подходит к любой обстановке и ситуации.</p>
<p>Каркас - метал. Сиденье - ткань VENICE.</p>
<p>Упакован - каркас - 2шт./ 1 кор., сиденье - 1 шт/ 1 кор.</p>";10,2;0,193;Италия;"CONNUBIA CALLIGARIS";;14550.00;14550.00;20850.00;;;3;
CB1904VP15S0A;"Стул GRETA CB/1904-V MET.P15 MATT BLACK/ VINTAGE S0A DESERT";https://mebelcity.com/upload/iblock/4f5/4f509dfd953b5d5ab00dcc27e98f3697.jpg;;;;;50;47;;;91;61;;Ткань;Металл;;;"Бежевый винтажный";;;;;"<h1>Стул на металлическом каркасе GRETA винтажный бежевый Connubia by Calligaris</h1>
<p>Изящный дизайн стула подходит к любой обстановке и ситуации.</p>
<p>Каркас - метал. Сиденье - экокожа.</p>
<p>Упакован - каркас - 2шт./ 1 кор., сиденье - 1 шт/ 1 кор.</p>";10,2;0,193;Италия;"CONNUBIA CALLIGARIS";;14550.00;14550.00;20850.00;;;3;
CB1904VP15S0B;"Стул GRETA CB/1904-V MET.P15 MATT BLACK/ VINTAGE S0B TOBACCO";https://mebelcity.com/upload/iblock/38e/38eef8747fe3782d4a3fca3056858388.jpg;;;;;50;47;;;91;61;;Ткань;Металл;;;"Коричневый винтажный";;;;;"<h1>Стул на металлическом каркасе GRETA винтажный коричневый Connubia by Calligaris</h1>
<p>Изящный дизайн стула подходит к любой обстановке и ситуации.</p>
<p>Каркас - метал. Сиденье - экокожа.</p>
<p>Упакован - каркас - 2шт./ 1 кор., сиденье - 1 шт/ 1 кор.</p>";10,2;0,193;Италия;"CONNUBIA CALLIGARIS";;14550.00;14550.00;20850.00;;;3;
CB1904VP15S0C;"Стул GRETA CB/1904-V MET.P15 MATT BLACK/ VINTAGE S0C EBONY";https://mebelcity.com/upload/iblock/827/8271a96e555c99c4ec9995726da4b7c6.jpg;;;;;50;47;;;91;61;;Ткань;Металл;;;"Темно-коричневый винтажный";;;;;"<h1>Стул на металлическом каркасе GRETA винтажный темно-коричневый Connubia by Calligaris</h1>
<p>Изящный дизайн стула подходит к любой обстановке и ситуации.</p>
<p>Каркас - метал. Сиденье - экокожа.</p>
<p>Упакован - каркас - 2шт./ 1 кор., сиденье - 1 шт/ 1 кор.</p>";10,2;0,193;Италия;"CONNUBIA CALLIGARIS";;14550.00;14550.00;20850.00;;;3;
44,51,Z039;"Стул GILL 44.51 (Z039 антрацит, полипропилен)";"https://mebelcity.com/upload/iblock/26a/26a8243a84169f6dbe550ca2549470c7.jpg https://mebelcity.com/upload/iblock/6d4/6d4b95e21f4a18fa42a01d4b1af54c79.jpg";;;;;47;47;;;84;52;;Полипропилен;Полипропилен;;;Антрацит;;;;;"На складе в упаковке. Упаковано - 4 штуки/ 1 коробка. Пригоден для использования в доме, на улице, в местах общественного пользования.Очень стильный яркий стул, отлично вписывается в любой интерьер.Широкая цветовая гамма.<br />
";5,25;0,039;Италия;BONTEMPI;;5200.00;5200.00;6500.00;;;8;
C969FMP4;"Стул BLOOM light brown светло-коричневый винтажный экокожа М-City";"https://mebelcity.com/upload/iblock/073/07394910c166c80cf858695f64ea2ffd.jpg https://mebelcity.com/upload/iblock/c2c/c2c151548a985ecdcae955858e1089db.jpg https://mebelcity.com/upload/iblock/0bf/0bfd7190d7741ca3dabadf5aafe283c1.jpg https://mebelcity.com/upload/iblock/864/86478cb0623754c69d05a15be62263fa.jpg";;;;;42;44;;;87;45;;Экокожа;Металл;;;"Светло-коричневый винтажный";;;Чёрный;;"<h1>Стул BLOOM светло-коричневый на металлокаркасе</h1>
<p>Сиденье обито экокожей светло-коричневого винтажного цвета.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 2 шт./1 кор.</p>
<p>Также доступна к заказу модель в коричневом, темно-коричневом, бежевом и желтом цветах.</p>
";6,4;0,09;Китай;"LangFang BaisiNuo Furniture Co.,LTD ";;2400.00;2500.00;3850.00;2000.00;2208.00;1;
C969FMP2;"Стул BLOOM beige бежевый винтажный экокожа М-City";"https://mebelcity.com/upload/iblock/aab/aab30c8f5b199963aa0c947138cd0f8d.jpg https://mebelcity.com/upload/iblock/aec/aec7283e10fa6a8cdc405ad45d51ae7d.jpg https://mebelcity.com/upload/iblock/090/090f65dd36740b4957800c6396d0f604.jpg";;;;;42;44;;;87;45;;Экокожа;Металл;;;"Бежевый винтажный";;;Чёрный;;"<h1>Стул BLOOM бежевый на металлокаркасе</h1>
<p>Сиденье обито экокожей бежевого винтажного цвета.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 2 шт./1 кор.</p>
<p>Также доступна к заказу модель в коричневом, светло-коричневом, темно-коричневом и желтом цветах.</p>
";6,4;0,09;Китай;"LangFang BaisiNuo Furniture Co.,LTD ";;2400.00;2500.00;3850.00;2000.00;2208.00;4;
C969PUYELLOW;"Стул BLOOM yellow желтый экокожа М-City";"https://mebelcity.com/upload/iblock/f75/f75c70f63a5349bde583cf89fd0b2b31.jpg https://mebelcity.com/upload/iblock/411/411668636ae2dde2703d8117278b6007.jpg https://mebelcity.com/upload/iblock/885/885c7957d534a298e87d697a854180da.jpg https://mebelcity.com/upload/iblock/a5c/a5c84b50e84641029df3e5586d028580.jpg https://mebelcity.com/upload/iblock/48b/48b9fd44c9ec1a69c22c5d95fa1a4c66.jpg https://mebelcity.com/upload/iblock/6e9/6e9239b7fa181fd5d715cb1940ab19f9.jpg";;;;;42;44;;;87;45;;Экокожа;Металл;;;Желтый;;;Чёрный;;"<h1>Стул BLOOM желтый на металлокаркасе</h1>
<p>Сиденье обито экокожей желтого цвета.</p>
<p>Ножки стула - металл черного цвета.</p>
<p>Упакован - 2 шт./1 кор.</p>
<p>Также доступна к заказу модель в коричневом, светло-коричневом, темно-коричневом и бежевом цветах.</p>
";6,4;0,09;Китай;"LangFang BaisiNuo Furniture Co.,LTD ";;2400.00;2500.00;3850.00;2000.00;2208.00;1;
PETALF4971;"Стол PETAL D110 М-City";"https://mebelcity.com/upload/iblock/87b/87b07e1ac4fb1cd8a3b471a107c6315e.jpg https://mebelcity.com/upload/iblock/a5c/a5cfacef207cdbc54be8f557e3ac95fb.jpg https://mebelcity.com/upload/iblock/b52/b5298e447b19b9d1a65c085e31506886.jpg https://mebelcity.com/upload/iblock/66a/66add826cac516557a5b7176c0b5cb09.jpg https://mebelcity.com/upload/iblock/050/050461afeb2e2589f8dc5606daef1e4b.jpg";;110;110;75;;;;110;;;"Стекло закаленное";;Металл;;Прозрачный;;;;Чёрный;;"<h1>Стол стеклянный PETAL</h1>
<p>Недорогой обеденный стол на металлокаркасе.</p>
<p>Описание модели: </p>
<ul>
<li>Нераскладной. Прозрачное закаленное стекло толщиной 10 мм; </li>
<li>Металлические ножки стола окрашены в черный цвет,</li>
<li>Упакован в 2 коробки.</li>
</ul> 
";33,6;0,09;Китай;"LangFang BaisiNuo Furniture Co.,LTD ";Нераскладной;7300.00;7650.00;11700.00;6083.00;6708.00;;
VEN1351GTOBCAP;"Стул VENUS tobacco M-City";"https://mebelcity.com/upload/iblock/01f/01fd1fa1c19128c9e05ad29acd623099.jpg https://mebelcity.com/upload/iblock/895/895a98b8fcba00b33482f328016a1de8.jpg https://mebelcity.com/upload/iblock/a97/a9798199ae0b0e076bc9f42149830947.jpg https://mebelcity.com/upload/iblock/d1c/d1cc0bb99b8f1343a3851e76c063555f.jpg";;;;;48;46;;;85;62;;Экокожа;Металл;;;Тобакко;;;Капучино;;"<h1>Стул VENUS tobacco на металлокаркасе</h1>
<p>Сиденье обито экокожей цвета тобакко состаренный.</p>
<p>Ножки стула - металл в цвете каппучино.</p>
<p>Упакован - 2 шт./1 кор.</p>
";8;0,125;Китай;"DONGGUAN  EXCELLENT IMPORT AND EXPORT  CO., LTD. ";;2950.00;3100.00;4700.00;2458.00;2708.00;46;
